p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.06551023134282e-16	0.252105941644028	0.118	0.097	1.5575937410356e-11	WT	ENSMUSG00000021483.Cdk20
5.3821699504405e-16	0.247127888707935	0.141	0.119	1.65496343806095e-11	WT	ENSMUSG00000031290.Lrch2
5.4362931217909e-16	0.596414605417052	0.03	0.02	1.67160577201948e-11	WT	ENSMUSG00000030004.Nat8
5.67604276387285e-16	0.194825952780462	0.249	0.221	1.74532638946326e-11	WT	ENSMUSG00000021140.Pcnx
5.78722660654187e-16	0.124325205000645	0.593	0.563	1.77951430924556e-11	WT	ENSMUSG00000019055.Plod1
5.91238204865751e-16	0.282842454669308	0.092	0.074	1.8179983561417e-11	WT	ENSMUSG00000003812.Dnase2a
6.03515572510109e-16	0.23554737185133	0.154	0.131	1.85575003391134e-11	WT	ENSMUSG00000027381.Bcl2l11
6.42460088021289e-16	0.106990491886399	0.539	0.503	1.97550052465666e-11	WT	ENSMUSG00000027797.Dclk1
6.77338950459091e-16	0.231374981692198	0.156	0.133	2.08274953876666e-11	WT	ENSMUSG00000026596.Abl2
7.16077214252641e-16	0.138855129247996	0.382	0.348	2.20186582610545e-11	WT	ENSMUSG00000041058.Wwp1
7.21215408919941e-16	0.156401004963292	0.337	0.304	2.21766526088793e-11	WT	ENSMUSG00000032741.Tpcn1
7.33333501307281e-16	0.171916907292528	0.299	0.269	2.25492718316976e-11	WT	ENSMUSG00000059248.Septin9
7.37473243569798e-16	0.695743539625878	0.022	0.014	2.26765647665277e-11	WT	ENSMUSG00000024109.Nrxn1
8.08896064772896e-16	0.204735932336881	0.14	0.118	2.48727450957018e-11	WT	ENSMUSG00000009394.Syn2
8.17093807127661e-16	0.220934711177713	0.199	0.174	2.51248174753685e-11	WT	ENSMUSG00000021518.Ptdss1
8.27255569858542e-16	0.22814460049922	0.135	0.113	2.54372815175803e-11	WT	ENSMUSG00000021846.Peli2
8.57080348479269e-16	0.215676192310664	0.225	0.198	2.6354363635389e-11	WT	ENSMUSG00000036197.Gxylt1
8.86803642516032e-16	0.428640792328096	0.054	0.04	2.72683252037255e-11	WT	ENSMUSG00000031137.Fgf13
9.62614492519287e-16	0.111392726943729	0.582	0.55	2.95994330304755e-11	WT	ENSMUSG00000061665.Cd2ap
1.00463548961134e-15	0.160134433194228	0.25	0.22	3.08915366700591e-11	WT	ENSMUSG00000035877.Zhx3
1.00774432445623e-15	0.112419502681275	0.623	0.589	3.09871302327046e-11	WT	ENSMUSG00000051615.Rap2a
1.04979138398319e-15	0.148214107458267	0.41	0.376	3.22800352660992e-11	WT	ENSMUSG00000052915.Msl1
1.06562430060846e-15	0.174082936823881	0.289	0.259	3.27668816194096e-11	WT	ENSMUSG00000036097.Slf2
1.13086464880419e-15	0.215469827554772	0.188	0.163	3.477295708608e-11	WT	ENSMUSG00000022610.Mapk12
1.13868630929291e-15	0.304750437386672	0.101	0.082	3.50134653244477e-11	WT	ENSMUSG00000034858.Fam214a
1.29643691079995e-15	0.215567802425375	0.201	0.175	3.98641385701875e-11	WT	ENSMUSG00000048833.Slc39a9
1.3722476081771e-15	0.632209759540533	0.024	0.016	4.21952417038376e-11	WT	ENSMUSG00000103751.Gm37283
1.40326157162364e-15	0.24255026319736	0.123	0.102	4.31488900658554e-11	WT	ENSMUSG00000038844.Kif16b
1.4567303816583e-15	0.426262532080014	0.056	0.042	4.47930025056111e-11	WT	ENSMUSG00000107205.Gm42576
1.4983066925137e-15	0.307675508422487	0.078	0.061	4.60714324881037e-11	WT	ENSMUSG00000046808.Atp10d
1.51005680560072e-15	0.233496451224472	0.133	0.111	4.64327367154167e-11	WT	ENSMUSG00000027227.Sord
1.51801677654549e-15	0.203444725942405	0.116	0.096	4.66774978619973e-11	WT	ENSMUSG00000021130.Galnt16
1.57289333254003e-15	0.355051077857557	0.054	0.041	4.83648970822733e-11	WT	ENSMUSG00000103828.2610001A08Rik
1.58753857434458e-15	0.137167002578578	0.46	0.427	4.88152236225215e-11	WT	ENSMUSG00000036053.Fmnl2
1.66084210834584e-15	0.462619435207369	0.046	0.033	5.10692339895263e-11	WT	ENSMUSG00000054514.Atad3aos
1.73562614669525e-15	0.361139930335105	0.067	0.052	5.33687683847322e-11	WT	ENSMUSG00000019838.Slc16a10
1.7842885474591e-15	0.12266997111282	0.58	0.549	5.48650885458198e-11	WT	ENSMUSG00000030067.Foxp1
1.80753545761366e-15	0.154805135845248	0.386	0.352	5.55799077861626e-11	WT	ENSMUSG00000031393.Mecp2
1.85749790133792e-15	0.231078060504863	0.169	0.145	5.71162029682397e-11	WT	ENSMUSG00000024887.Asah2
1.86600694123425e-15	0.21011038453306	0.197	0.172	5.73778474360118e-11	WT	ENSMUSG00000075470.Alg10b
1.89513454652245e-15	0.231005335264721	0.156	0.133	5.82734921710189e-11	WT	ENSMUSG00000003378.Grik5
1.97705420383425e-15	0.509567137259702	0.025	0.016	6.07924397136994e-11	WT	ENSMUSG00000034324.Tmem132c
2.0523786824731e-15	0.280857773941625	0.129	0.109	6.31085921073652e-11	WT	ENSMUSG00000073700.Klhl21
2.0593868366856e-15	0.131132614715274	0.484	0.45	6.33240858412455e-11	WT	ENSMUSG00000030180.Kdm5a
2.07598052846134e-15	0.203290068592557	0.235	0.208	6.38343252696577e-11	WT	ENSMUSG00000038884.Shfl
2.11654730862201e-15	0.404585577640159	0.048	0.035	6.50817131928183e-11	WT	ENSMUSG00000116298.4833412C15Rik
2.12945418349784e-15	0.252327365393194	0.142	0.12	6.54785866883751e-11	WT	ENSMUSG00000104687.Gm42899
2.25071512943476e-15	0.122284260253234	0.574	0.542	6.92072395149896e-11	WT	ENSMUSG00000029311.Hsd17b11
2.43054988997683e-15	0.160171767497653	0.32	0.288	7.47369785668975e-11	WT	ENSMUSG00000052688.Rab7b
2.43950545317233e-15	0.482094450553222	0.041	0.029	7.5012353179596e-11	WT	ENSMUSG00000104154.Gm38104
2.48025827133473e-15	0.823058854251867	0.014	0.007	7.62654615852716e-11	WT	ENSMUSG00000074240.Cib3
2.50174306651423e-15	0.234285975263365	0.171	0.147	7.69260975522460e-11	WT	ENSMUSG00000036282.Naa30
2.6925845312369e-15	0.236339939956321	0.081	0.064	8.27942817510035e-11	WT	ENSMUSG00000086629.2810403D21Rik
2.73231664963327e-15	0.180988093640728	0.269	0.239	8.40160046595733e-11	WT	ENSMUSG00000032405.Pias1
2.83172210984802e-15	0.124769387340026	0.492	0.457	8.70726231557167e-11	WT	ENSMUSG00000024603.Dctn4
2.88906970758287e-15	0.415823460707661	0.051	0.038	8.88360044384655e-11	WT	ENSMUSG00000092074.Dynlt1a
2.93631170385675e-15	0.390419317374788	0.068	0.053	9.02886485818912e-11	WT	ENSMUSG00000112794.Gm48878
2.97973080878691e-15	0.152926432216647	0.364	0.33	9.16237426393887e-11	WT	ENSMUSG00000024384.Iws1
2.98931543532163e-15	0.165021009547706	0.345	0.314	9.19184603207047e-11	WT	ENSMUSG00000025702.Marchf8
2.99070783681167e-15	0.259306960042062	0.161	0.139	9.19612752741221e-11	WT	ENSMUSG00000026153.Fam135a
3.10521503561106e-15	0.377028378774972	0.061	0.046	9.54822571300045e-11	WT	ENSMUSG00000103646.Gm37706
3.12048065775984e-15	0.142528161594321	0.386	0.354	9.59516597454573e-11	WT	ENSMUSG00000059263.Usp47
3.21054353534029e-15	0.148811131943105	0.345	0.313	9.87210031681787e-11	WT	ENSMUSG00000040209.Zfp704
3.29868392835712e-15	0.147465535147915	0.401	0.368	1.01431232113053e-10	WT	ENSMUSG00000028041.Adam15
3.38805130155678e-15	0.151461010676857	0.368	0.336	1.04179189471569e-10	WT	ENSMUSG00000009741.Ubp1
3.59030722901779e-15	0.166004180121542	0.341	0.31	1.10398356985068e-10	WT	ENSMUSG00000074925.Ptar1
3.6251949940408e-15	0.246082037181127	0.142	0.12	1.1147112087176e-10	WT	ENSMUSG00000046962.Zbtb21
3.71956200063745e-15	0.236326399390671	0.21	0.185	1.14372811957601e-10	WT	ENSMUSG00000049241.Hcar1
3.73224411439831e-15	0.329537374912649	0.064	0.049	1.14762774273634e-10	WT	ENSMUSG00000038233.Gask1a
3.92771928760021e-15	0.198239287958897	0.312	0.283	1.20773440374419e-10	WT	ENSMUSG00000000708.Kat2b
4.0013639233578e-15	0.692457847805618	0.023	0.015	1.23037939279329e-10	WT	ENSMUSG00000025938.Slco5a1
4.17258892548604e-15	0.306937811739083	0.11	0.091	1.2830293686977e-10	WT	ENSMUSG00000047804.Akap10
4.39070204145912e-15	0.13488482207198	0.259	0.229	1.35009697072826e-10	WT	ENSMUSG00000034485.Uaca
4.46144099761862e-15	0.115693231554386	0.574	0.542	1.37184849235775e-10	WT	ENSMUSG00000027230.Creb3l1
4.63409064347007e-15	0.153091759958152	0.37	0.338	1.42493653196061e-10	WT	ENSMUSG00000032594.Ip6k1
5.02946716420319e-15	0.171406412817653	0.226	0.2	1.54651085832084e-10	WT	ENSMUSG00000035305.Ror1
5.15878561510894e-15	0.303948408780365	0.104	0.086	1.58627498878985e-10	WT	ENSMUSG00000043903.Zfp469
5.20118110117761e-15	0.258341900882979	0.176	0.153	1.5993111768011e-10	WT	ENSMUSG00000003154.Foxj2
5.21521264424196e-15	0.218256015236752	0.134	0.113	1.60362573597796e-10	WT	ENSMUSG00000039347.Atp6v0e2
5.21855386403932e-15	0.180379772233203	0.199	0.173	1.60465312765345e-10	WT	ENSMUSG00000000693.Loxl3
5.22118522196378e-15	0.132157276730289	0.366	0.332	1.60546224390164e-10	WT	ENSMUSG00000041734.Kirrel
5.41315048873344e-15	0.175691677545222	0.306	0.277	1.66448964378064e-10	WT	ENSMUSG00000032178.Ilf3
5.4243294228383e-15	0.236199787884004	0.152	0.13	1.66792705422855e-10	WT	ENSMUSG00000026667.Uhmk1
6.40921162836965e-15	0.263827799389052	0.079	0.063	1.97076848360738e-10	WT	ENSMUSG00000036766.Dner
6.50453466654378e-15	0.177980085683431	0.291	0.263	2.00007936461555e-10	WT	ENSMUSG00000058325.Dock1
6.75934376082152e-15	0.459874125984288	0.042	0.03	2.07843061301501e-10	WT	ENSMUSG00000102844.Gm38034
6.85223323263469e-15	0.118650392505652	0.577	0.542	2.10699319670284e-10	WT	ENSMUSG00000033684.Qsox1
6.93432452279731e-15	0.303371484393816	0.091	0.074	2.13223544751495e-10	WT	ENSMUSG00000037818.Abhd18
7.21963140600221e-15	0.130220708149007	0.491	0.458	2.21996446103162e-10	WT	ENSMUSG00000030255.Sspn
7.50432175982606e-15	0.328618648713908	0.089	0.072	2.30750389792892e-10	WT	ENSMUSG00000032245.Cln6
7.75072952940371e-15	0.207837090013681	0.192	0.168	2.38327182299635e-10	WT	ENSMUSG00000019326.Aoc3
7.84584383047096e-15	0.239828872320472	0.173	0.149	2.41251851943151e-10	WT	ENSMUSG00000063576.Klhdc3
7.9109469742404e-15	0.100657584501223	0.237	0.209	2.43253708510918e-10	WT	ENSMUSG00000026073.Il1r2
8.59926820152562e-15	0.317796217112905	0.089	0.072	2.64418897928711e-10	WT	ENSMUSG00000097277.2900076A07Rik
8.83526658609379e-15	0.614778718289512	0.025	0.016	2.71675612255798e-10	WT	ENSMUSG00000105597.4633401B06Rik
9.37413523291336e-15	0.568184826625024	0.033	0.023	2.88245284276853e-10	WT	ENSMUSG00000108447.Gm44567
9.61967243174127e-15	0.27268222144274	0.091	0.074	2.95795307603612e-10	WT	ENSMUSG00000028957.Per3
1.06273404027539e-14	0.458356022988646	0.05	0.037	3.2678009004428e-10	WT	ENSMUSG00000071291.Zfp58
1.06781930130268e-14	0.165109872002571	0.314	0.285	3.2834375695756e-10	WT	ENSMUSG00000043067.Dpy19l1
1.07581907247283e-14	0.178180635968588	0.35	0.32	3.30803606594672e-10	WT	ENSMUSG00000045973.Slc25a51
1.08390791664257e-14	0.16495812448847	0.196	0.17	3.33290845288423e-10	WT	ENSMUSG00000024924.Vldlr
1.0853910647017e-14	0.129471301450211	0.473	0.44	3.33746898485127e-10	WT	ENSMUSG00000032712.Resf1
1.14503650883154e-14	0.19108193469277	0.254	0.226	3.52087276100609e-10	WT	ENSMUSG00000034300.Fam53c
1.15176260855891e-14	0.497746728954615	0.032	0.022	3.5415548450578e-10	WT	ENSMUSG00000103867.9630010A21Rik
1.16442899362157e-14	0.178173766889038	0.181	0.156	3.58050271248697e-10	WT	ENSMUSG00000038065.Mturn
1.20069106057386e-14	0.223553749072162	0.117	0.097	3.69200494215857e-10	WT	ENSMUSG00000085315.A430018G15Rik
1.22214297441358e-14	0.154308591584625	0.362	0.33	3.75796743202432e-10	WT	ENSMUSG00000043279.Trim56
1.25327521195865e-14	0.133962992002165	0.537	0.509	3.85369594925166e-10	WT	ENSMUSG00000003038.Hmgn2
1.25464914877937e-14	0.133005337047111	0.367	0.333	3.85792066758169e-10	WT	ENSMUSG00000053754.Chd8
1.25748906205644e-14	0.441579515949827	0.043	0.031	3.86665311691734e-10	WT	ENSMUSG00000002266.Zim1
1.26519971737242e-14	0.203813030343906	0.193	0.168	3.89036261094846e-10	WT	ENSMUSG00000043323.Fbrsl1
1.30641931837809e-14	0.102749182546044	0.503	0.465	4.01710876208078e-10	WT	ENSMUSG00000075595.Zfp652
