p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.79294460942914e-09	0.210548077855782	0.599	0.56	0.000208876253795337	cko	ENSMUSG00000063838.Cdc42ep5
7.00001256222404e-09	0.197254843108462	0.587	0.552	0.000215243386275827	cko	ENSMUSG00000031683.Lsm6
7.03713803293659e-09	0.313469014354348	0.452	0.412	0.000216384957374767	cko	ENSMUSG00000090266.Mettl23
7.60259266006133e-09	0.109352583132336	0.896	0.865	0.000233772121704226	cko	ENSMUSG00000029713.Gnb2
7.80792463015153e-09	0.160036855227095	0.708	0.69	0.000240085874452529	cko	ENSMUSG00000008036.Ap2s1
7.82226530577966e-09	0.162655897367044	0.744	0.709	0.000240526835887419	cko	ENSMUSG00000023904.Hcfc1r1
8.0943507626089e-09	0.259646555106836	0.423	0.376	0.000248893191599461	cko	ENSMUSG00000027203.Dut
8.16340039654921e-09	0.122905074652253	0.919	0.89	0.000251016398793492	cko	ENSMUSG00000063229.Ldha
8.56270301834945e-09	0.189297834776898	0.7	0.68	0.000263294555111227	cko	ENSMUSG00000031950.Gabarapl2
8.60979803296879e-09	0.566476674929929	0.128	0.089	0.000264742679715757	cko	ENSMUSG00000033377.Palmd
9.85382209326867e-09	0.23416711390119	0.531	0.493	0.000302995175545918	cko	ENSMUSG00000061474.Mrps36
1.02519545235232e-08	0.12309125241811	0.863	0.828	0.000315237349643816	cko	ENSMUSG00000032026.Rexo2
1.07785764589307e-08	0.108109597284608	0.919	0.905	0.000331430447535662	cko	ENSMUSG00000040681.Hmgn1
1.08767776472033e-08	0.19062360404866	0.646	0.623	0.000334450035873855	cko	ENSMUSG00000029030.Tprgl
1.09038159168313e-08	0.140957066368886	0.759	0.737	0.000335281435626645	cko	ENSMUSG00000031807.Pgls
1.10040197458756e-08	0.308490623421292	0.45	0.414	0.000338362603165928	cko	ENSMUSG00000032398.Snapc5
1.24631946337944e-08	0.134072991458988	0.651	0.621	0.000383230771794543	cko	ENSMUSG00000028419.Chmp5
1.27389694425969e-08	0.109344291455758	0.932	0.909	0.000391710571390411	cko	ENSMUSG00000031812.Map1lc3b
1.29470012659465e-08	0.210464382062779	0.553	0.516	0.00039810734192659	cko	ENSMUSG00000021967.Mrpl57
1.35832741883349e-08	0.209301565681489	0.631	0.605	0.000417672098017109	cko	ENSMUSG00000040006.Ginm1
1.39458698306447e-08	0.305965618031597	0.528	0.468	0.000428821551422493	cko	ENSMUSG00000040026.Saa3
1.40775892653945e-08	0.143562888600931	0.724	0.695	0.000432871792321617	cko	ENSMUSG00000006095.Tbcb
1.43146548437818e-08	1.00612130546082	0.065	0.038	0.000440161321791445	cko	ENSMUSG00000020218.Wif1
1.43311844724411e-08	0.209402960633677	0.603	0.573	0.000440669591343093	cko	ENSMUSG00000004268.Emg1
1.45703970560243e-08	0.142356783602615	0.644	0.615	0.00044802513907569	cko	ENSMUSG00000062169.Cnih4
1.49282976109736e-08	0.169019630700283	0.58	0.549	0.000459030223239827	cko	ENSMUSG00000031879.Ciao2b
1.61200339101934e-08	0.398880748756185	0.29	0.245	0.000495674922704538	cko	ENSMUSG00000035183.Slc24a5
1.61344133499495e-08	0.174655309604463	0.566	0.533	0.000496117076097597	cko	ENSMUSG00000026078.Pdcl3
1.71949656505441e-08	0.250832056662131	0.471	0.433	0.000528727998788581	cko	ENSMUSG00000004032.Gstm5
1.72016658884207e-08	0.238833665282898	0.594	0.563	0.000528934024403047	cko	ENSMUSG00000029198.Grpel1
1.802621467102e-08	0.194156162750002	0.532	0.499	0.000554288074919195	cko	ENSMUSG00000030615.Tmem126a
1.83709043072528e-08	0.277628213562337	0.336	0.282	0.000564886936543716	cko	ENSMUSG00000027004.Frzb
1.85135863652365e-08	0.176802256804733	0.638	0.606	0.000569274267144657	cko	ENSMUSG00000025260.Hsd17b10
1.85515984002899e-08	0.116838463813861	0.874	0.855	0.000570443099210513	cko	ENSMUSG00000070394.Tmem256
1.87635251658285e-08	0.206985955332613	0.549	0.513	0.000576959635324061	cko	ENSMUSG00000010358.Ifi35
1.94382774365307e-08	0.151164389771244	0.626	0.598	0.000597707592895882	cko	ENSMUSG00000015804.Med28
1.9884363010446e-08	0.295468263064503	0.406	0.364	0.000611424278208205	cko	ENSMUSG00000002329.Mdp1
2.10936009479367e-08	0.199993224086298	0.556	0.525	0.000648607135548106	cko	ENSMUSG00000030603.Psmc4
2.15563805110754e-08	1.05528191902263	0.038	0.018	0.000662837144335057	cko	ENSMUSG00000011263.Exoc3l2
2.18304286643679e-08	0.381651612362514	0.582	0.548	0.000671263851000649	cko	ENSMUSG00000055148.Klf2
2.22140916311712e-08	0.134196878152005	0.783	0.749	0.000683061103566882	cko	ENSMUSG00000096145.Vkorc1
2.23397751615032e-08	0.176625684135365	0.571	0.545	0.000686925746441063	cko	ENSMUSG00000045948.Mrps12
2.26964622506319e-08	0.145996955773552	0.692	0.671	0.00069789351774468	cko	ENSMUSG00000030751.Psma1
2.58817153390736e-08	0.17365858635737	0.678	0.658	0.000795836864961173	cko	ENSMUSG00000031848.Lsm4
2.68196416101021e-08	0.299126565623105	0.389	0.342	0.000824677159869029	cko	ENSMUSG00000005413.Hmox1
2.82879603956375e-08	0.299345330083794	0.311	0.259	0.000869826494205457	cko	ENSMUSG00000020021.Fgd6
2.94189865861608e-08	0.126759274919981	0.689	0.666	0.000904604418537858	cko	ENSMUSG00000023020.Cox14
